[39.917019, 116.552742]	初中美人完全无脑啊我擦，心伤透	Thu Oct 24 11:01:48 +0800 2013
[23.130174, 113.385903]	#为你而来朴有天#@JYJcomeon[爱你][爱你][爱你][哈哈][哈哈]那麼近见到你很幸福很happy！永遠是米饭！可以从第三排跑到第一排感謝米飯们的友爱！今天看見你舞台上那麼开心那麼嗨那麼调皮[哈哈][哈哈][哈哈]真是二货本色吖！这要永不脱饭的节奏吖[害羞][害羞]	Fri Nov 22 02:01:41 +0800 2013
[23.13215, 113.32701]	求包养我在#正佳广场#	Tue Nov 19 18:23:32 +0800 2013
[31.2191741817, 121.458653231]	我在长乐村。晚安	Tue Nov 26 00:00:46 +0800 2013
[22.901838, 113.26973]	最近变的不爱吃饭，唉	Mon Nov 04 21:21:38 +0800 2013
[30.679195, 104.039497]	最后一个月的工资希望你不要拖欠，好聚好散嘛	Tue Oct 22 09:18:30 +0800 2013
[39.96185896, 116.30397173]	#双十一购物狂欢节#双十一的超级优惠活动[鼓掌][鼓掌][鼓掌]双十一快递爆仓以及APEC会议对快递的影响，为了避免亲们不能按时收到自己的快件，所以百合把活动时间提前了，一年一次的双十一，百合团队就是这么疯狂，这么给力！[威武][威武]还不快来咨询，你的损失哦[阴险][阴险]	Tue Nov 04 15:02:06 +0800 2014
[23.235263, 113.343606]	我人离开，我心会一直在的@GBHARIABABY@陈_娟YM	Mon Dec 16 23:59:23 +0800 2013
[31.148637, 121.579445]	#1019宁波移动歌友会#[太开心][太开心][可爱]和小果果的合影照~好可爱的小朋友~~[爱你][爱你]@陈翔橙	Mon Oct 21 00:00:02 +0800 2013
[39.907612, 116.274002]	[偷乐][偷乐][偷乐]	Mon Aug 04 11:37:32 +0800 2014
[39.970936, 116.45269]	商场里看见小孩儿的圣诞活动〜母爱泛滥了〜〜[泪]其实我也想参加〜[太开心]@袁琳For-future	Sat Dec 21 15:55:21 +0800 2013
[39.95050812, 116.43714142]	要上班啦啦啦啦啦啦啦啦	Mon Dec 30 07:17:01 +0800 2013
[30.874001, 121.702003]	吃海风赏梅花	Sun Mar 02 16:37:13 +0800 2014
[31.27261, 121.46033]	我在家里，和@lilichenli@咖啡转转@阿朱心语1哭宝度妈妈在一起。病假在家，我就乖乖的，好好的做攻略	Wed Oct 16 19:39:12 +0800 2013
[31.23, 121.48]		Sat Nov 02 19:17:13 +0800 2013
[40.089565, 116.309891]	等一场大雪来挥霍所有想念。	Fri Nov 22 19:29:52 +0800 2013
[30.594999, 104.105003]	再见。	Tue Mar 11 22:33:31 +0800 2014
[39.954, 116.32273]	你是黑暗之中的我唯一的希望照亮我不安和迷茫	Thu Jan 16 10:37:05 +0800 2014
[31.2098195926, 121.471946743]	我在MAOLIVEHOUSESHANGHAI-跨年专场	Wed Jan 01 16:05:00 +0800 2014
[31.254431, 121.382851]	[睡觉][睡觉][睡觉]	Wed Apr 23 23:48:54 +0800 2014
[31.310028, 121.388535]	昨天练到了很晚吧@SNH48-龚诗淇夢は汗の中に。。。加油[赞][赞]冬日里只要见到☀心情往往就会很好。早安小十七、明天见。。。	Thu Dec 05 09:26:29 +0800 2013
[30.97609, 121.30729]	#100斤以下的才叫吃货#那我算什么？？？@把花心男ni捐给灾区@Alegria琦@Forever啊哈哈	Sun Sep 07 23:47:14 +0800 2014
[39.999603, 116.408073]	每个片刻都可以抉择，是否要生机盎然地活在当下。	Sat Jan 25 18:57:06 +0800 2014
[23.124895, 113.428001]	下班後！下來散散步！緩解下情緒！	Tue Oct 15 17:40:21 +0800 2013
[22.96198, 113.35229]	男人，你们老是嫌弃女人如何如何。。你闲她胖？没事，她可以减肥！你闲她没胸？没事，她可以丰胸！你闲她不会打扮？没事，她可以学！你闲她唠叨？没事，她可以改！。。。只要是你嫌弃的她都可以改！但你确定她改了以后还会要你吗？？	Tue Nov 04 09:20:19 +0800 2014
[40.074537, 116.183791]	现在水晶，发丝水晶，紫水晶在文玩市场火了	Mon Oct 21 18:33:28 +0800 2013
[23.180405, 113.277435]	直播开场	Sun Jan 12 20:15:18 +0800 2014
[23.0627068245, 113.391915189]	@广州女装SHOP批发零售要怎么代理你家衣服	Sat Oct 12 15:57:34 +0800 2013
[39.937271, 116.444443]	目的性是什么	Sun Dec 01 03:52:53 +0800 2013
[39.871597, 116.644768]	@伍科蓓bei好久没了你的消息	Wed Oct 30 20:29:52 +0800 2013
[23.103234, 113.227575]	#1212扫码分钱#用淘宝手机客户端来扫码可以分到钱，能不能分到500万今晚见分晓！别看了，赶紧用淘宝客户端来扫吧。	Thu Dec 12 09:24:09 +0800 2013
[39.8266, 116.20973]	雨悄悄的下着，我就那么安静的走在你的背后，看着你的背影，周围是雨水落地的声音，心仿佛也是静悄悄的。一路上的第一句话却是拜拜，就像个同学一般。	Wed Feb 26 23:54:15 +0800 2014
[39.818188, 116.17598]	执子之手，与子偕老。—致闺蜜、我爱你们[爱你][爱你]	Fri Jan 24 23:10:29 +0800 2014
[39.933674, 116.356483]	[心][心][心]12月21日，北京，世贸天阶，两个傻孩子，在寒冷的天里，傻站在大屏幕下一个小时，就是为了发一条短信，可心里却是暖暖的～～老猪，有你真好，爱你！[爱你][爱你][爱你]（Ps：大屏幕最后一条是属于我的）	Sat Dec 21 23:57:33 +0800 2013
[31.028736, 121.364402]	不带美瞳两眼无神	Fri May 09 19:02:19 +0800 2014
[39.923499, 116.298266]	小妹妹好好看	Wed Mar 05 14:47:36 +0800 2014
[22.831491, 112.8859825]	待我把风景都看破，	Thu Dec 05 19:44:44 +0800 2013
[30.62571167, 104.0938475]	你快回来@宋媛媛_3371宋慧桥不听话不让我给她梳头她太无厘头了她还说非诚勿扰是找男朋友的她要看！！	Wed Jan 01 11:52:47 +0800 2014
[23.18497, 113.04535]	以宽容之德孕育人生，人生才有价值；以宽容之情浇灌生活，生活才有意义。有意义的生活人生才能精彩，精彩的人生才有快乐。让我们学会宽容，互谅互让。让生活中多一份和谐和幸福。	Wed Feb 19 19:41:44 +0800 2014
[39.859479, 116.238968]	[萌]	Fri Nov 01 09:03:53 +0800 2013
[30.646065, 104.064842]	这是要长肉肉的节奏哇。	Thu Nov 14 13:38:55 +0800 2013
[23.191648, 113.498558]	很久没有刷过微博了，今晚刷一下，顺便祈祷天气快点好起来。	Thu Mar 06 22:22:40 +0800 2014
[39.90928, 116.64116]	开通了	Mon Dec 02 18:52:32 +0800 2013
[30.905451, 121.459869]	一切又回到半年多前，连体重也是。。。	Sat Oct 12 05:16:23 +0800 2013
[31.283136, 121.500832]	人如果可以不睡觉就活着该多好，谁要是变成吸血鬼了记得咬我一口。	Thu Dec 05 03:27:08 +0800 2013
[39.932289, 116.310104]	不想回头，害怕看到一个眼神。	Wed Nov 13 18:29:27 +0800 2013
[22.950348, 113.372948]	免房费通宵优惠活动'周日至周四23：00唱至6：00一个房间消费满128元即可免房费！周五、周六12：00唱至6：00一个房间消费满168元即可免房费（注：1以上消费顾客可自行点选酒水或小食！2不包含自助餐）订房电话13622886414潘经理微信咨询22135184k pa r t y番禺店	Fri Oct 11 15:13:34 +0800 2013
[23.33441, 113.38426]	面对着汹涌而来的现实，觉得自己渺小无力。但这，也是生命的一部分。做好现在你能做的，然后，一切都会好的。我们都将孤独地长大，不要害怕。我在#广东外语外贸大学南国商学院#	Fri Nov 08 23:53:57 +0800 2013
[30.620794, 104.08136]	早安，我有病吧！	Sun Oct 20 05:03:49 +0800 2013
[23.229093, 113.216651]	分享图片	Sun Dec 08 22:50:07 +0800 2013
[39.953819, 116.347252]	恒大求给力见拜仁	Sun Dec 15 00:00:31 +0800 2013
[23.180429, 113.427277]	前年报的钢琴班快过期了，老师催着上课，为了保证学习质量必须高密度练习。相比跑路去琴房每小时15元的方案还是买个电钢琴放宿舍更划算。今天入手克拉乌泽SP2白色版(黑色没货),整套2780元，手感音质尚能接受，继乒乓球后，这下可以大力发展我的另一个业余爱好了！	Sun Dec 15 23:46:03 +0800 2013
[31.09853, 121.56459]	#裂变刮刮卡#自从有了裂变刮刮卡，每天刮几张，腰不酸了腿不痛了，还有红包可以拿，真开心~OhYeah~	Sun Mar 02 14:18:38 +0800 2014
[31.370399, 121.472099]		Tue Nov 04 10:06:48 +0800 2014
[23.12261, 113.247711]	时间在变，人也在变。有些事，不管我们如何努力，回不去就是回不去了。	Tue Jun 10 00:46:26 +0800 2014
[23.198814, 113.364273]	长痘长痘长痘长痘，哦哆咔唧	Sun Nov 10 19:51:47 +0800 2013
[23.049381, 113.312805]	听说你最近运道旺，快给小伙伴沾沾光吧~！由福星的小手亲自送彩票，中奖机会加倍，财运滚滚来哟~	Mon Jan 20 09:27:51 +0800 2014
[31.229429, 121.47686]	换了一个平台投简历，面试电话马上多到来不及接…51Job你是把我拉黑了嘛…摔！[哼][哼][哼]	Tue Mar 04 11:09:50 +0800 2014
[31.165959, 121.408805]	[泪]牙疼的一天....	Tue Jan 07 07:41:31 +0800 2014
[39.895, 116.418708]	20131016再見了，新的小夥伴P.S.我好像是吃這東西的，剛買1個月沒到，又壞了，你妹呀…	Wed Oct 16 10:10:18 +0800 2013
[40.047818, 116.28257]	这颗脑袋，智商怎么还没有以前一半呢？	Thu Oct 17 11:03:38 +0800 2013
[39.949082775, 116.40821684]	跟杨大师一块。就着果粒橙，把干煸豆角里面的辣椒分了。。@杨炸炸	Sun Jan 19 19:44:45 +0800 2014
[23.040533, 113.325025]	最最最无奈于满腹心事无处诉..	Thu Feb 27 23:45:30 +0800 2014
[22.999595, 113.208999]	烟不消,雾散,一切都走远;岁月尽,人老,徒留半生萧条！	Sun Oct 20 21:56:41 +0800 2013
[23.07242, 113.393483]	外语外贸大学走起[哈哈][哈哈][哈哈]	Sat Nov 02 15:50:10 +0800 2013
[23.130461, 113.276304]	发生咩事？？？系烈士陵园站等车，已经有4部102经过，5部108经过，就系吾见有部107经过，已经有几次啦……我啉依d绝对吾系巧合次次都甘耐先有车，你地负责依条线路既人员系未应该要整理下搞清楚发生咩事呢？如果系技术问题吾该你地再培训下再上岗啦！！！	Mon Nov 25 18:12:40 +0800 2013
[31.293798, 121.501572]	脑子要爆炸[晕][晕]对毅力的极度考验！从今天起，我要抵制美食的诱惑[馋嘴]	Sun Nov 03 15:31:43 +0800 2013
[23.15889038, 112.99594989]	晚安[亲亲]	Wed Feb 19 23:42:23 +0800 2014
[30.639681, 104.080762]	姗姗	Sun Dec 01 01:08:57 +0800 2013
[39.95903, 116.462189]	动起来，吃嘛嘛香[爱你][爱你][哈哈][哈哈][哈哈][哈哈][哈哈][爱你][爱你][爱你]	Thu Nov 21 17:53:09 +0800 2013
[22.989751, 113.340089]	广州海洋馆	Sun Dec 29 23:55:44 +0800 2013
[23.145222, 113.158613]	@-義麒Milky-1月23日求河图北鼻～～～来収河图吧果咩啊那么晚才给你～～～～～～～～生日快乐哈～～～以后也要一起掉节操知道不！	Fri Jan 24 23:43:04 +0800 2014
[39.790745, 116.429421]	我在北京，晴。天气预报说有雨，好吧，看着像。#天气物语##图钉随手拍#)	Fri May 09 06:05:15 +0800 2014
[40.084782, 116.330809]	我在#墨迹天气#，发布了一张最新#墨迹时景#照片！昌平，晴，8度，西南风1级。	Sun Oct 27 11:20:27 +0800 2013
[22.941787, 112.923072]	2月以来的天气，感觉就是——人站在北极，而后被人踹了一脚，历经了寒带—温带—亚热带—热带—亚热带—温带—寒带。现在人在南极，期待再被人踹一脚[泪]（老天爷，不带这样的，春节过完一年四季，都不好玩[生病]）	Tue Feb 18 18:51:24 +0800 2014
[39.963565, 116.325798]	我是不是遇到骗子了	Thu Nov 21 13:37:16 +0800 2013
[23.28947, 113.09594]	终于要开饭局啦,天知道我自己一个人等了多久！！?[生病][可怜]	Sun Sep 07 19:00:44 +0800 2014
[39.907421, 116.374237]	22014	Sun Feb 16 14:21:02 +0800 2014
[31.103563, 121.480491]	平安夜	Tue Dec 24 19:45:37 +0800 2013
[23.190262, 113.267563]	新款打蜡头层牛皮女款35-39绒里-皮里	Thu Nov 21 00:55:21 +0800 2013
[31.217863, 121.360291]	这就是家住的远的尴尬，要么很早到，要么很晚到。于是，我的性格是。。必须早到了很久[睡覺][睡覺][睡覺]还好同事陪我一起吃早饭，不然无聊死了要[微風][微風][微風]	Fri Oct 18 07:32:14 +0800 2013
[22.810903, 113.415691]	#最旅行#我在#中国，广东，广州#，前几天同朋友系广州灵山个朋友度摘香蕉。。。。。[鼓掌][鼓掌][鼓掌][鼓掌][鼓掌])	Mon Oct 14 22:41:15 +0800 2013
[23.08184, 113.26945]	#病人家屬是極品#我忍不住了，現在我科裡有個病人左前臂燙傷外加有疥瘡還腦梗的，插了胃管有家屬照顧著，家屬真的讓人無語，一直話很多各種嫌弃我們醫院嫌弃病人，經常跑沒影，今晚上隔壁床收了個新病人又問這麽晚怎麼還有病人來啊什麼的我怎麽知道為毛還有病人啊	Wed Oct 16 23:58:47 +0800 2013
[39.908164, 116.591239]	[月亮][月亮][月亮][话筒][话筒][话筒]	Sun Nov 24 22:22:30 +0800 2013
[40.000198, 116.299957]	扯淡的一天[黑线]	Sat Nov 02 18:32:10 +0800 2013
[40.024093, 116.315249]	【晚安，科学家】我要把人生变成科学的梦，然后再把梦变成现实。---居里夫人（法国）	Wed Dec 04 00:52:03 +0800 2013
[30.69971, 104.05722]	兰花开了，阵阵花香♥:)	Wed Mar 05 07:45:16 +0800 2014
[23.1972103119, 113.157958984]	白天的街市很繁华…	Sun Oct 20 09:32:42 +0800 2013
[39.908001961771, 116.45703884125]	突然觉得有点冷啊	Wed Feb 26 17:30:00 +0800 2014
[23.200932, 113.36821]	这是什么[思考][挖鼻屎]这是要火的节奏吗？[阴险][阴险]@广东工业大学GDUTOL	Wed Nov 20 22:57:08 +0800 2013
[31.368544, 121.366756]	尴尬了！原来今天18号啊哈哈日子过晕了[汗]补上一句：生日快乐哈！今年24明天多少？哈哈@YesMan_1989	Fri Oct 18 23:32:24 +0800 2013
[23.263262, 113.358482]	把老婆当公主，你就是驸马爷。把老婆当皇后,你就是皇帝。把老婆当保姆，你就是保安。把老婆当丫鬟,你就是太监！把老婆当神经病，你觉得你还能正常到哪？同意的转！	Mon Oct 21 22:30:21 +0800 2013
[30.650150743621, 104.11486271222]	书到了！推荐，推荐！尘埃落定讲的是嘉绒藏族，这部小说写的是康巴藏族！不同的风俗习惯，信仰的差异，造成藏区不同的区域文化！有机会了解一下！@四川电台主持曾铮@小雪Taylor@CD李霞@刘天芬@成都蒋峻@CD李霞@叉叉同学@方超_方大脸@狼族车社大师兄	Mon Mar 10 20:55:59 +0800 2014
[39.729572, 116.142647]	同样是一个妈生的，差别咋就那么大呢？	Thu Dec 19 22:05:18 +0800 2013
[39.957409, 116.322006]	转】感谢中医世家、中医院教授杨院长配的『雾霾清肺茶』配方：罗汉果20克，乌梅15克，百合10克，广金钱草10克，罗布麻10克，煎水代茶饮，每天数次。功效：能及时清肺，润肺抗病毒，温中行气，润肺养阴、化痰散结作用。	Sun Feb 23 11:58:51 +0800 2014
[31.293461, 121.45849]	祈福的2014******	Wed Jan 01 12:45:30 +0800 2014
[23.128401, 113.374397]	#让红包飞#	Thu Jan 23 23:59:42 +0800 2014
[31.230019, 121.39814]	想看131222smweekMärchenFantasy	Mon Dec 23 19:43:38 +0800 2013
[40.108064606061, 116.36893945455]	#祝五月天日专大卖#	Thu Nov 14 01:11:29 +0800 2013
[23.222799, 113.195274]	[兔子][威武]	Wed Nov 27 16:27:25 +0800 2013
[40.028591, 116.412712]	前些年临写王铎行书手卷	Sun Feb 16 23:56:43 +0800 2014
[39.71376, 116.188835]	顺丰真给力，不枉费我打车	Fri Nov 08 19:57:43 +0800 2013
[23.13618974026, 113.30308164935]	它是强人	Fri Dec 13 07:59:02 +0800 2013
[31.185162, 121.441679]	我在KeyBox真人密室逃脱(签到1次)	Fri Jun 27 12:06:20 +0800 2014
[22.830623, 113.385304]	我总是在这无聊着……点解要甘早到[懒得理你][懒得理你]…唉…无聊岈岈岈	Wed Dec 25 16:41:19 +0800 2013
[22.869324, 113.485876]	今天的产品都在卖萌！	Wed Oct 30 20:38:55 +0800 2013
[23.069559, 113.281693]	2014新年快乐~！www阿姨洗铁路！@贝贝想躲贝窝看雪@SXBK_小哥拼图模式@SXBK的小伙伴在哪里@SXBK_雪男君@SXBK_Mino@SXBK_静琉酱@XY不会取名惹	Wed Jan 01 00:00:11 +0800 2014
[22.994131, 113.417121]	我真系好想稳一个爱我噶人，我真系一个缺爱噶孩纸而已，想稳到爱我噶人真系咁难咩？[泪]	Sun Mar 02 22:37:56 +0800 2014
[23.285844, 113.254975]	每次跟你聊天与对话里，我总是能体会出那种与人生大道理，能尝出有一股美味佳肴菜。@-差好多Youth聊后总结出收获多多少少不同即很现实的道理。@-差好多Youth每个光荣的背后都付出的泪水	Mon Dec 30 20:41:27 +0800 2013
[23.095801, 113.153886]	集祝福，祝我弟生日快乐！	Sat Nov 09 01:24:03 +0800 2013
[39.929298, 116.223236]	上班，做饭！听歌，小白的歌很好听，谢谢？你！平淡的日子！	Fri Oct 25 23:56:08 +0800 2013
[39.9842, 116.35538]	平安夜钟声想起，许一个心愿给你	Tue Dec 24 17:54:53 +0800 2013
[39.868221, 116.272781]	又饿了炸鸡[馋嘴]不正常[抓狂]我还是去睡吧[哼]	Sat Dec 28 23:58:24 +0800 2013
[39.924625, 116.516808]	有没有稍微年轻点	Thu Nov 07 00:48:00 +0800 2013
[23.148511, 113.250312]	暂告一段落[拜拜]gohomeforseeingmyalldear~	Sun Jul 13 15:06:24 +0800 2014
[23.117613700245, 113.20999938773]	@ZH诗琳，不要太张扬我的事，好吗？[花心][嘘]	Sat Mar 22 14:47:57 +0800 2014
[39.936108, 116.514908]	洗澡时，身上若有伤口的话，碰到水，就会很痛，而且不小心就会发炎，这时可以在伤口上涂抹油质物，像面霜之类的，与水隔离，也就不会痛了！	Sun Dec 01 16:11:15 +0800 2013
[39.968025207, 116.48993682]	今天的日出很美，可惜没带相机，只能拿手机凑合拍一张了。	Tue Dec 10 10:16:48 +0800 2013
[22.840616, 113.388771]	亲爱的,猪你生日快乐啦～又大一岁啦,祝愿你心想事成天天开心越来越靓越来越苗条我永远爱你❤❤	Sun Dec 15 00:00:55 +0800 2013
[23.164499575758, 113.374104]	一夜无眠	Sun Dec 22 06:45:51 +0800 2013
[22.98668, 113.26879]	一路有你，已经足够	Mon Jan 27 00:36:14 +0800 2014
[39.908001961771, 116.45703884125]	【【爱情测试】100万人做过的爱情测试：你适合跟谁在一起？（女生版）】(分享自微淘的广播)	Mon Feb 24 11:34:08 +0800 2014
[23.16, 113.23]	我用兜兜友分享图片:希望我們在未來的20\/30年甚至更久，無話不談。致互相信任的我們[原文地址]@兜兜友	Fri Feb 28 01:05:05 +0800 2014
[39.984417, 116.391556]	既然面对着同样的压力，我当然会选择自己喜欢的	Tue Nov 19 18:43:45 +0800 2013
[39.915169, 116.350769]	好久都没看到了、好亲切	Sun Feb 23 11:39:11 +0800 2014
[39.889648, 116.337173]	我儿...！[爱你][爱你][爱你]	Wed Feb 26 20:11:34 +0800 2014
[40.158848, 116.448433]	苹果园与美少女[嘻嘻][哈哈]如果鼻头上的红痘痘没那么明显的话[哼]	Sat Nov 16 10:38:11 +0800 2013
[31.303392, 121.42981]	2013年马上就要过去了，我的宝儿马上也要满15个月了，今年时间过的特别快，我也从未如此盼着时间快快过，还有大半年的时间，我们就可以住进自己的新房了，好开心，2014年我要慢慢的陪着我的宝儿长大，新年愿望就是希望我的家人健康平安，还有一个就是老公多赚钱	Tue Dec 31 14:32:02 +0800 2013
[31.297501, 121.505699]	把朋友圈开发成“麻麻你看我真是一个爱学习的好孩子”展示平台真是爽[偷笑][偷笑]	Fri Feb 28 15:22:34 +0800 2014
[39.98886, 116.37135]	【博学考试现场】-宝剑锋从磨砺出，梅花香自苦寒来！学习数日，且看今朝！！志新兄弟们加油！！！[嘻嘻][嘻嘻][嘻嘻][爱你][爱你][爱你]@北京链家-学院区	Thu Nov 21 14:18:48 +0800 2013
[31.234291, 121.528007]	好抢眼的颜色	Fri Dec 20 12:42:44 +0800 2013
[31.240179, 121.476234]	#硬盘日记#night15：明天要上班啦，但今天又蛋疼去面试另外一家，老板问我之前北京给多少？我说五千多（其实还没有）老板惊呼：这点钱在北京活不下去啊！我尴尬一笑，老板又补刀：在上海也活不下去啊！我上网一搜，都说魔都一万都过的艰难，那我一直以来和即将过的日子算什么？	Mon Mar 10 19:06:04 +0800 2014
[23.182851, 113.326553]	还是觉得画的不好.[酷][酷]	Thu Dec 19 20:41:38 +0800 2013
[23.277248, 113.378471]	一直以来喜欢的味道，从未改变过。	Tue Oct 29 22:09:14 +0800 2013
[31.189492, 121.386414]	我在烧肉一筋(签到1次)：服务生很帅啊	Wed Apr 23 19:16:41 +0800 2014
[30.952465, 121.345138]	今晚独自一人上班，好怕怕哦！可怜呀！冷呀！	Sat Nov 30 00:07:24 +0800 2013
[22.814705, 113.432816]	冷雨夜里。只要歌曲跟你陪伴	Mon Dec 16 22:56:56 +0800 2013
[39.956928, 116.282463]	以后都别说自己有起床气好嘛…cao能比吗…	Mon Dec 23 12:29:18 +0800 2013
[23.098792, 113.319566]	我要长高我要长高我要长高我要长高！！！！！！	Sun Nov 03 19:06:51 +0800 2013
[31.274987765, 121.50151247]	计算时间出现大偏差，又没赶上到航中路的地铁。。	Tue Nov 19 17:27:58 +0800 2013
[22.867361, 113.228325]	今日生存拿第二名	Sat Oct 19 22:29:33 +0800 2013
[23.152254, 113.411186]	出门在外，口罩是以备不时之需的	Fri Nov 01 16:55:33 +0800 2013
[31.235847, 121.47448]	@CATHY求各种不挂科各种过过过假期小聚会～[爱你]	Sun Jan 12 17:48:47 +0800 2014
[39.86939, 116.234555]	谢谢你ZSM	Wed Feb 19 23:42:01 +0800 2014
[23.03644, 113.11902]	吃上了火锅真满足。	Sun Oct 27 13:16:52 +0800 2013
[23.265682, 113.245986]	终于知道废了一只手的感觉。	Sun Oct 20 09:20:31 +0800 2013
[23.206247284, 113.24247307]	分享图片我在#麦当劳(石井店)#	Sat Nov 23 20:39:02 +0800 2013
[23.052225, 113.19432]	别那么幼稚了，，成熟一点	Mon Jan 13 23:24:52 +0800 2014
[23.130391, 113.512443]	一走进家乡的门[哈哈][哈哈]妈妈又提起了笑尿我@赖嘉妮大盆友@邓志锋_you	Tue Jan 21 23:29:32 +0800 2014
[40.058369, 116.41481]	@周苗SALLYBABY周小喵，你朝思暮想的坚果，马上到来，在你的肚纸给你的最爱留点位置，[馋嘴][馋嘴][馋嘴]	Tue Dec 17 10:56:26 +0800 2013
[23.29277, 113.31797]	[泪][泪][泪][泪]사랑해大硕在自己的微薄下评论了,[泪]我不会打太多韩文只打了我爱你[嘻嘻]@张根硕#漂亮男人#	Wed Nov 06 23:43:37 +0800 2013
[23.09338, 113.24831]	@咖啡精品生活	Tue Nov 05 07:36:54 +0800 2013
[31.28289, 121.543159]	苹果机房上课根本没意义！	Fri Mar 07 11:09:58 +0800 2014
[39.960014, 116.398956]	@EndingLoveKristen1cc求出	Wed Jan 08 08:29:26 +0800 2014
[39.707817, 116.424355]	感谢你们给我压力，因为拥有压力，让我更能承受	Fri Nov 22 18:50:44 +0800 2013
[39.797001, 116.281998]	头一回上去喝丸子汤，有的人夹起一个鸡腿直接放进了自己碗里，真是无力吐槽[怒]	Mon Feb 24 21:36:08 +0800 2014
[39.864361, 116.507927]	早安亲爱的朋友们[围脖][温暖帽子][手套]	Tue Dec 03 10:23:15 +0800 2013
[23.153467, 113.257831]	我忘了它叫什麽，你們看的出來嗎？35～39###	Mon Nov 04 17:04:14 +0800 2013
[22.813554, 113.438088]	本来想做个朋友，但遭到如此无视，算吧，都怪自己手贱，都怪自己思想幼稚，今日就当识个人系啦！	Mon Nov 11 22:24:23 +0800 2013
[30.553833, 104.034492]	七块钱。	Fri Jun 27 23:51:29 +0800 2014
[30.643288, 104.09655]	看完甄嬛传到卫生间洗澡准备睡觉，老公这货洗完光屁股立于厕所门口对我说：小主，刚刚内务府送来西域进贡的神奇腊肠一条，可长可短,可粗可细,可舔可吮,煞是可爱，令人爱不释手，耍到极致还能施以琼浆，实乃瘦脸养颜之佳品，小的私心想着，小主若是能常常戏耍此物，定是极好![嘻嘻]	Mon Oct 14 11:02:47 +0800 2013
[30.622342, 104.057503]	成都taxi先进哦～还有导航塞	Mon Oct 28 01:04:26 +0800 2013
[31.295552681818, 121.533101]	谁见过这么奇葩的龙虾，爪子长的像变异了一样	Mon Oct 14 20:15:20 +0800 2013
[39.85738, 116.445755]	无聊！	Fri Jun 27 20:28:23 +0800 2014
[23.12901, 113.18104]	Adifferentpath,seedifferentscenery.一一一走不同的路，看不同的风景。	Tue Mar 11 23:49:03 +0800 2014
[39.965527, 116.551316]	#都暻秀0112生日快乐#亲爱的，为了你，我会继续努力的。因为爱你，是我的正能量。	Tue Dec 17 22:19:52 +0800 2013
[23.165609, 113.383232]	阳光虽然很好，但是好冷的上午	Wed Dec 18 10:17:26 +0800 2013
[39.9838, 116.7017]	撸串即将开始[思考][思考]	Sat Mar 28 16:59:53 +0800 2015
[30.656469, 103.989402]	吃货的故事	Fri Feb 21 18:17:52 +0800 2014
[39.873322, 116.479652]	建国饭店开会了	Sun Jul 13 13:17:45 +0800 2014
[31.263544, 121.653386]	彼此都不了解╮(╯▽╰)╭还是不要固执了！！！！	Wed Nov 20 00:00:39 +0800 2013
